Protein,Localization
A1BG,Cytosol
AAAS,Secretory
AACS,Cytosol
AAGAB,Cytosol
AAK1,Cytosol
AAMP,Cytosol
AARS2,Mitochondria
AARSD1,Cytosol
AASDHPPT,Cytosol
AASS,Mitochondria
AATF,Nuclear
ABAT,Mitochondria
ABCB10,Mitochondria
ABCB7,Mitochondria
ABCB8,Mitochondria
ABCC1,Secretory
ABCD1,Secretory
ABCD3,Secretory
ABCE1,Cytosol
ABCF1,Cytosol
ABCF3,Cytosol
ABHD10,Mitochondria
ABHD11,Mitochondria
ABHD12,Secretory
ABHD14B,Cytosol
ABHD5,Secretory
ABI1,Cytosol
ABI2,Cytosol
ABL1,Cytosol
ABR,Cytosol
ABT1,Nuclear
ACAA1,Secretory
ACAA2,Mitochondria
ACACA,Cytosol
ACACB,Nuclear
ACAD10,Mitochondria
ACAD8,Mitochondria
ACAD9,Mitochondria
ACADM,Mitochondria
ACADS,Mitochondria
ACADSB,Mitochondria
ACADVL,Mitochondria
ACAP2,Cytosol
ACAT1,Mitochondria
ACAT2,Cytosol
ACBD3,Cytosol
ACBD5,Secretory
ACBD6,Cytosol
ACIN1,Nuclear
ACLY,Cytosol
ACO1,Cytosol
ACO2,Mitochondria
ACOT1,Nuclear
ACOT11,Cytosol
ACOT4,Cytosol
ACOT7,Cytosol
ACOT8,Secretory
ACOT9,Mitochondria
ACOX1,Secretory
ACOX3,Secretory
ACP1,Cytosol
ACP2,Secretory
ACSF2,Mitochondria
ACSF3,Mitochondria
ACSL1,Secretory
ACSL3,Secretory
ACSL4,Secretory
ACSS1,Mitochondria
ACSS2,Cytosol
ACSS3,Mitochondria
ACTB,Cytosol
ACTG1,Cytosol
ACTL6A,Cytosol
ACTN4,Nuclear
ACTR10,Cytosol
ACTR1A,Cytosol
ACTR1B,Cytosol
ACTR2,Cytosol
ACTR3,Cytosol
ACTR3B,Cytosol
ACTR5,Nuclear
ACTR6,Nuclear
ACTR8,Nuclear
ACY1,Cytosol
ACYP1,Cytosol
ACYP2,Cytosol
ADA,Cytosol
ADAM10,Secretory
ADAM17,Secretory
ADAP1,Cytosol
ADAR,Nuclear
ADARB1,Nuclear
ADD1,Cytosol
ADD3,Cytosol
ADH5,Cytosol
ADI1,Cytosol
ADK,Cytosol
ADNP,Nuclear
ADO,Cytosol
ADPGK,Secretory
ADRM1,Cytosol
ADSL,Cytosol
AFAP1,Nuclear
AFAP1L2,Cytosol
AFF4,Nuclear
AFG3L2,Mitochondria
AFTPH,Cytosol
AGA,Secretory
AGAP1,Cytosol
AGAP3,Cytosol
AGFG1,Cytosol
AGFG2,Cytosol
AGK,Mitochondria
AGL,Cytosol
AGPAT3,Secretory
AGPAT5,Mitochondria
AGR2,Secretory
AGRN,Secretory
AGT,Cytosol
AGTRAP,Secretory
AHCTF1,Nuclear
AHCY,Cytosol
AHCYL1,Cytosol
AHCYL2,Cytosol
AHDC1,Nuclear
AHNAK,Nuclear
AHNAK2,Nuclear
AHR,Cytosol
AHSA1,Cytosol
AIDA,Cytosol
AIF1L,Cytosol
AIFM1,Mitochondria
AIFM2,Secretory
AIMP1,Cytosol
AIMP2,Cytosol
AIP,Cytosol
AK1,Cytosol
AK2,Nuclear
AK3,Mitochondria
AKAP1,Mitochondria
AKAP10,Cytosol
AKAP11,Secretory
AKAP12,Cytosol
AKAP13,Cytosol
AKAP8,Nuclear
AKAP8L,Nuclear
AKAP9,Cytosol
AKR1A1,Cytosol
AKR1C2,Cytosol
AKR1C3,Cytosol
AKR7A2,Cytosol
AKT1,Cytosol
AKT1S1,Cytosol
AKT2,Cytosol
AKTIP,Cytosol
ALAD,Cytosol
ALB,Cytosol
ALCAM,Secretory
ALDH16A1,Cytosol
ALDH18A1,Mitochondria
ALDH1A3,Cytosol
ALDH1B1,Mitochondria
ALDH3A2,Secretory
ALDH4A1,Mitochondria
ALDH5A1,Mitochondria
ALDH6A1,Mitochondria
ALDH7A1,Cytosol
ALDH9A1,Cytosol
ALDOA,Cytosol
ALDOC,Cytosol
ALG1,Secretory
ALG13,Cytosol
ALG2,Secretory
ALG5,Secretory
ALKBH4,Cytosol
ALKBH5,Nuclear
ALS2,Cytosol
AMDHD2,Cytosol
AMOT,Nuclear
AMPD2,Cytosol
AMPD3,Cytosol
ANAPC10,Nuclear
ANAPC16,Cytosol
ANAPC2,Cytosol
ANAPC4,Cytosol
ANAPC5,Cytosol
ANGEL2,Nuclear
ANK2,Cytosol
ANK3,Cytosol
ANKFY1,Cytosol
ANKHD1,Cytosol
ANKIB1,Secretory
ANKLE2,Secretory
ANKMY2,Cytosol
ANKRA2,Cytosol
ANKRD13A,Cytosol
ANKRD13D,Cytosol
ANKRD16,Cytosol
ANKRD17,Cytosol
ANKRD26,Cytosol
ANKRD27,Secretory
ANKRD28,Cytosol
ANKRD44,Cytosol
ANKRD50,Cytosol
ANKRD52,Cytosol
ANKRD54,Cytosol
ANKS1A,Cytosol
ANKZF1,Cytosol
ANLN,Nuclear
ANO10,Secretory
ANO6,Secretory
ANP32A,Nuclear
ANP32B,Nuclear
ANTXR1,Secretory
ANXA1,Cytosol
ANXA11,Cytosol
ANXA2,Cytosol
ANXA3,Cytosol
ANXA4,Cytosol
ANXA5,Cytosol
ANXA6,Cytosol
ANXA7,Cytosol
AP1B1,Cytosol
AP1G1,Cytosol
AP1G2,Cytosol
AP1M1,Cytosol
AP1M2,Cytosol
AP1S1,Cytosol
AP1S2,Cytosol
AP2A1,Secretory
AP2A2,Secretory
AP2B1,Secretory
AP2M1,Secretory
AP2S1,Secretory
AP3B1,Cytosol
AP3D1,Cytosol
AP3M1,Cytosol
AP3M2,Cytosol
AP3S1,Cytosol
AP3S2,Cytosol
APAF1,Cytosol
APBB2,Cytosol
APEH,Cytosol
APEX1,Nuclear
API5,Nuclear
APIP,Cytosol
APLP2,Secretory
APOC1,Secretory
APOD,Secretory
APOL2,Secretory
APOM,Secretory
APOO,Mitochondria
APOOL,Mitochondria
APP,Secretory
APPL1,Cytosol
APPL2,Cytosol
APRT,Cytosol
APTX,Nuclear
AQR,Nuclear
AR,Cytosol
ARAF,Cytosol
ARAP1,Cytosol
ARCN1,Cytosol
ARF4,Cytosol
ARF5,Cytosol
ARF6,Secretory
ARFGAP1,Cytosol
ARFGAP2,Cytosol
ARFGAP3,Cytosol
ARFGEF1,Cytosol
ARFGEF2,Cytosol
ARFIP1,Cytosol
ARFIP2,Cytosol
ARFRP1,Secretory
ARGLU1,Nuclear
ARHGAP1,Cytosol
ARHGAP10,Cytosol
ARHGAP12,Cytosol
ARHGAP17,Cytosol
ARHGAP18,Cytosol
ARHGAP21,Secretory
ARHGAP29,Cytosol
ARHGAP32,Secretory
ARHGAP5,Cytosol
ARHGDIA,Cytosol
ARHGDIB,Cytosol
ARHGEF1,Cytosol
ARHGEF10,Cytosol
ARHGEF10L,Cytosol
ARHGEF11,Cytosol
ARHGEF12,Cytosol
ARHGEF16,Cytosol
ARHGEF17,Secretory
ARHGEF2,Cytosol
ARHGEF35,Cytosol
ARHGEF37,Cytosol
ARHGEF5,Cytosol
ARHGEF7,Cytosol
ARID1A,Nuclear
ARID1B,Nuclear
ARID2,Nuclear
ARID4A,Nuclear
ARID4B,Nuclear
ARIH1,Cytosol
ARIH2,Cytosol
ARL1,Secretory
ARL2,Cytosol
ARL2BP,Cytosol
ARL3,Cytosol
ARL4A,Secretory
ARL4C,Secretory
ARL6,Cytosol
ARL6IP4,Nuclear
ARL6IP5,Secretory
ARL8A,Secretory
ARL8B,Secretory
ARMC1,Mitochondria
ARMC10,Mitochondria
ARMC6,Cytosol
ARMC8,Cytosol
ARMC9,Cytosol
ARMCX2,Mitochondria
ARMCX3,Mitochondria
ARNT,Nuclear
ARPC1A,Cytosol
ARPC1B,Cytosol
ARPC2,Cytosol
ARPC3,Cytosol
ARPC5,Cytosol
ARPC5L,Cytosol
ARPP19,Cytosol
ARRB1,Cytosol
ARRB2,Cytosol
ARSA,Nuclear
ARVCF,Secretory
AS3MT,Cytosol
ASAH1,Secretory
ASAP1,Cytosol
ASAP2,Cytosol
ASAP3,Cytosol
ASB7,Nuclear
ASCC1,Cytosol
ASCC2,Cytosol
ASCC3,Cytosol
ASF1A,Nuclear
ASH2L,Nuclear
ASL,Cytosol
ASMTL,Cytosol
ASNS,Cytosol
ASPH,Secretory
ASPM,Secretory
ASPSCR1,Cytosol
ASRGL1,Cytosol
ASS1,Cytosol
ASXL2,Nuclear
ATAD1,Mitochondria
ATAD2,Nuclear
ATAD2B,Nuclear
ATAD3A,Mitochondria
ATAD3B,Mitochondria
ATE1,Cytosol
ATF1,Nuclear
ATF2,Nuclear
ATF7,Nuclear
ATF7IP,Nuclear
ATG12,Cytosol
ATG16L1,Cytosol
ATG2A,Cytosol
ATG2B,Cytosol
ATG3,Cytosol
ATG4B,Cytosol
ATG5,Cytosol
ATG7,Cytosol
ATIC,Cytosol
ATL2,Secretory
ATL3,Secretory
ATM,Nuclear
ATOX1,Cytosol
ATP13A1,Secretory
ATP1A1,Secretory
ATP1A3,Secretory
ATP1B1,Secretory
ATP1B3,Secretory
ATP2A2,Secretory
ATP2A3,Secretory
ATP2B1,Secretory
ATP2B4,Secretory
ATP2C1,Secretory
ATP6AP1,Secretory
ATP6AP2,Secretory
ATP6V0A1,Secretory
ATP6V0D1,Secretory
ATP6V1A,Cytosol
ATP6V1B1,Cytosol
ATP6V1B2,Cytosol
ATP6V1C1,Cytosol
ATP6V1D,Cytosol
ATP6V1E1,Cytosol
ATP6V1F,Secretory
ATP6V1G1,Cytosol
ATP6V1H,Cytosol
ATPAF1,Mitochondria
ATPAF2,Mitochondria
ATRN,Secretory
ATRX,Nuclear
ATXN1,Nuclear
ATXN10,Cytosol
ATXN1L,Nuclear
ATXN2,Cytosol
ATXN2L,Cytosol
ATXN3,Cytosol
ATXN7L3B,Cytosol
AUP1,Secretory
AVEN,Cytosol
AVL9,Cytosol
AZGP1,Cytosol
B2M,Secretory
B4GALT1,Secretory
BACH1,Cytosol
BAG1,Cytosol
BAG3,Cytosol
BAG4,Cytosol
BAG5,Cytosol
BAIAP2,Secretory
BAIAP2L1,Cytosol
BASP1,Secretory
BAX,Cytosol
BAZ1A,Nuclear
BAZ1B,Nuclear
BBX,Nuclear
BCAM,Secretory
BCAP31,Secretory
BCAR1,Cytosol
BCAS1,Cytosol
BCAS2,Nuclear
BCAS3,Cytosol
BCAT2,Mitochondria
BCCIP,Nuclear
BCKDHB,Mitochondria
BCKDK,Mitochondria
BCL10,Cytosol
BCL2L13,Mitochondria
BCL3,Cytosol
BCL7A,Nuclear
BCL7B,Nuclear
BCL9L,Nuclear
BCLAF1,Nuclear
BCR,Cytosol
BCS1L,Mitochondria
BDH1,Mitochondria
BDH2,Cytosol
BECN1,Cytosol
BICD1,Cytosol
BICD2,Cytosol
BID,Cytosol
BIN1,Cytosol
BIN3,Cytosol
BIRC2,Cytosol
BIRC6,Cytosol
BLM,Nuclear
BLMH,Cytosol
BLOC1S1,Secretory
BLOC1S2,Cytosol
BLOC1S3,Cytosol
BLVRA,Cytosol
BLVRB,Cytosol
BMP1,Secretory
BMS1,Nuclear
BNIP2,Cytosol
BOD1,Cytosol
BOLA1,Cytosol
BOP1,Nuclear
BPGM,Cytosol
BPHL,Mitochondria
BPNT1,Cytosol
BPTF,Nuclear
BRAF,Cytosol
BRAP,Cytosol
BRCC3,Cytosol
BRD1,Nuclear
BRD2,Nuclear
BRD3,Nuclear
BRD4,Nuclear
BRD7,Nuclear
BRD8,Nuclear
BRD9,Nuclear
BRIX1,Nuclear
BRMS1L,Nuclear
BRPF1,Nuclear
BRPF3,Nuclear
BSDC1,Cytosol
BSG,Secretory
BSPRY,Secretory
BST2,Secretory
BTAF1,Nuclear
BTF3,Cytosol
BTF3L4,Cytosol
BUB3,Nuclear
BUD13,Nuclear
BUD31,Nuclear
BYSL,Nuclear
BZW1,Cytosol
BZW2,Cytosol
C11orf54,Cytosol
C11orf58,Nuclear
C11orf68,Cytosol
C12orf29,Cytosol
C12orf4,Cytosol
C12orf43,Nuclear
C12orf57,Cytosol
C15orf40,Cytosol
C15orf48,Secretory
C17orf49,Nuclear
C17orf75,Cytosol
C18orf25,Nuclear
C19orf25,Secretory
C19orf47,Nuclear
C1orf116,Cytosol
C1orf122,Cytosol
C1orf198,Cytosol
C1orf226,Mitochondria
C1orf35,Nuclear
C1orf50,Cytosol
C1QB,Cytosol
C1QBP,Mitochondria
C1R,Cytosol
C1S,Cytosol
C20orf27,Cytosol
C2orf49,Nuclear
C3,Cytosol
C3orf38,Cytosol
C5,Cytosol
C5orf22,Nuclear
C5orf24,Nuclear
C7,Cytosol
C7orf25,Cytosol
C9orf64,Cytosol
C9orf78,Nuclear
CA12,Secretory
CA2,Cytosol
CA8,Cytosol
CAB39,Cytosol
CAB39L,Cytosol
CACYBP,Cytosol
CAD,Cytosol
CADM1,Secretory
CADPS2,Cytosol
CALCOCO1,Cytosol
CALCOCO2,Cytosol
CALML5,Cytosol
CALR,Nuclear
CALU,Nuclear
CAMK1,Cytosol
CAMK1D,Cytosol
CAMK2B,Cytosol
CAMK2D,Cytosol
CAMK2G,Cytosol
CAMKK2,Cytosol
CAMSAP1,Cytosol
CAND1,Cytosol
CAND2,Cytosol
CANT1,Secretory
CANX,Secretory
CAP1,Cytosol
CAP2,Cytosol
CAPG,Cytosol
CAPN1,Cytosol
CAPN2,Cytosol
CAPN7,Cytosol
CAPNS1,Cytosol
CAPRIN1,Nuclear
CAPS,Cytosol
CAPZA1,Cytosol
CAPZA2,Cytosol
CAPZB,Cytosol
CARD8,Cytosol
CARHSP1,Cytosol
CARM1,Cytosol
CARS2,Mitochondria
CASC3,Nuclear
CASKIN2,Cytosol
CASP2,Cytosol
CASP6,Cytosol
CASP7,Cytosol
CASP8,Cytosol
CASP9,Cytosol
CAST,Cytosol
CASZ1,Nuclear
CAT,Secretory
CAV1,Secretory
CBFB,Cytosol
CBL,Cytosol
CBLB,Cytosol
CBLL1,Nuclear
CBR1,Cytosol
CBR3,Cytosol
CBR4,Mitochondria
CBS,Cytosol
CBWD2,Cytosol
CBX1,Nuclear
CBX3,Nuclear
CBX4,Nuclear
CBX5,Nuclear
CBX8,Nuclear
CC2D1A,Cytosol
CC2D1B,Cytosol
CCAR1,Nuclear
CCDC102A,Cytosol
CCDC115,Secretory
CCDC12,Nuclear
CCDC124,Cytosol
CCDC127,Mitochondria
CCDC134,Secretory
CCDC22,Cytosol
CCDC25,Cytosol
CCDC28A,Cytosol
CCDC43,Cytosol
CCDC47,Secretory
CCDC50,Cytosol
CCDC51,Mitochondria
CCDC57,Cytosol
CCDC6,Cytosol
CCDC86,Nuclear
CCDC88C,Cytosol
CCDC90B,Mitochondria
CCDC91,Cytosol
CCDC92,Cytosol
CCDC93,Cytosol
CCDC97,Cytosol
CCM2,Cytosol
CCNC,Nuclear
CCNH,Nuclear
CCNK,Nuclear
CCNT1,Nuclear
CCNT2,Nuclear
CCS,Cytosol
CCT2,Cytosol
CCT3,Cytosol
CCT4,Cytosol
CCT5,Cytosol
CCT6A,Cytosol
CCT6B,Cytosol
CCT7,Cytosol
CCT8,Cytosol
CD109,Secretory
CD276,Secretory
CD2AP,Cytosol
CD2BP2,Nuclear
CD36,Secretory
CD44,Secretory
CD46,Secretory
CD47,Secretory
CD55,Secretory
CD59,Secretory
CD63,Secretory
CD81,Secretory
CD9,Secretory
CD99,Secretory
CDC123,Cytosol
CDC16,Cytosol
CDC26,Cytosol
CDC27,Nuclear
CDC37,Cytosol
CDC37L1,Cytosol
CDC40,Nuclear
CDC42,Cytosol
CDC42BPA,Cytosol
CDC42BPB,Cytosol
CDC42BPG,Cytosol
CDC42EP1,Secretory
CDC42EP4,Cytosol
CDC73,Nuclear
CDH1,Secretory
CDK1,Cytosol
CDK11A,Nuclear
CDK11B,Nuclear
CDK12,Nuclear
CDK13,Nuclear
CDK16,Cytosol
CDK18,Cytosol
CDK2,Cytosol
CDK2AP1,Nuclear
CDK4,Cytosol
CDK5,Cytosol
CDK5RAP2,Cytosol
CDK5RAP3,Secretory
CDK6,Cytosol
CDK7,Nuclear
CDK9,Nuclear
CDKN1B,Nuclear
CDKN2AIP,Nuclear
CDKN2AIPNL,Nuclear
CDKN2C,Cytosol
CDV3,Cytosol
CDYL,Nuclear
CEBPB,Nuclear
CEBPZ,Nuclear
CELF1,Nuclear
CELSR1,Secretory
CENPB,Nuclear
CENPE,Cytosol
CENPF,Nuclear
CENPI,Nuclear
CENPV,Nuclear
CEP170,Cytosol
CEP192,Cytosol
CEP250,Cytosol
CEP350,Secretory
CEP97,Cytosol
CES2,Secretory
CETN2,Cytosol
CETN3,Cytosol
CFD,Cytosol
CFDP1,Nuclear
CFH,Cytosol
CFI,Cytosol
CFL1,Cytosol
CFL2,Cytosol
CGGBP1,Nuclear
CGN,Cytosol
CGNL1,Cytosol
CHAF1A,Nuclear
CHCHD1,Mitochondria
CHCHD2,Nuclear
CHCHD3,Mitochondria
CHCHD4,Mitochondria
CHCHD5,Nuclear
CHCHD6,Mitochondria
CHD1,Nuclear
CHD2,Nuclear
CHD3,Nuclear
CHD4,Nuclear
CHD6,Nuclear
CHD7,Nuclear
CHD8,Nuclear
CHDH,Mitochondria
CHEK2,Nuclear
CHERP,Nuclear
CHID1,Secretory
CHKA,Cytosol
CHKB,Cytosol
CHM,Cytosol
CHML,Cytosol
CHMP1A,Cytosol
CHMP1B,Cytosol
CHMP2A,Cytosol
CHMP2B,Cytosol
CHMP4A,Cytosol
CHMP4B,Cytosol
CHMP4C,Cytosol
CHMP5,Cytosol
CHMP6,Secretory
CHMP7,Cytosol
CHORDC1,Cytosol
CHTF18,Nuclear
CHUK,Cytosol
CIAO1,Cytosol
CIAPIN1,Cytosol
CIB1,Secretory
CIC,Nuclear
CINP,Cytosol
CIRBP,Nuclear
CISD1,Mitochondria
CISD2,Secretory
CIT,Cytosol
CIZ1,Nuclear
CKAP4,Secretory
CKAP5,Cytosol
CKB,Cytosol
CLASP1,Cytosol
CLASP2,Cytosol
CLCC1,Secretory
CLEC16A,Cytosol
CLEC3B,Cytosol
CLGN,Secretory
CLIC1,Cytosol
CLIC3,Cytosol
CLIC4,Cytosol
CLIC6,Cytosol
CLINT1,Secretory
CLIP1,Cytosol
CLIP2,Cytosol
CLMN,Secretory
CLN5,Secretory
CLNS1A,Cytosol
CLP1,Nuclear
CLPB,Mitochondria
CLPP,Mitochondria
CLPX,Mitochondria
CLSTN1,Secretory
CLSTN2,Secretory
CLTA,Cytosol
CLTB,Cytosol
CLTC,Cytosol
CLU,Secretory
CMAS,Nuclear
CMBL,Cytosol
CMC1,Nuclear
CMIP,Cytosol
CMPK1,Cytosol
CNBP,Cytosol
CNDP2,Cytosol
CNKSR1,Cytosol
CNN2,Cytosol
CNNM4,Secretory
CNOT4,Cytosol
CNP,Secretory
CNPY3,Nuclear
COASY,Cytosol
COBL,Secretory
COBLL1,Cytosol
COG1,Cytosol
COG2,Cytosol
COG3,Cytosol
COG4,Cytosol
COG5,Cytosol
COG6,Cytosol
COG7,Cytosol
COG8,Cytosol
COIL,Nuclear
COL12A1,Secretory
COL18A1,Secretory
COL1A1,Cytosol
COL1A2,Cytosol
COL3A1,Cytosol
COL5A1,Secretory
COL6A1,Secretory
COL6A2,Secretory
COMMD1,Cytosol
COMMD10,Cytosol
COMMD2,Cytosol
COMMD3,Cytosol
COMMD4,Cytosol
COMMD5,Cytosol
COMMD6,Cytosol
COMMD7,Cytosol
COMMD8,Cytosol
COMMD9,Cytosol
COMP,Cytosol
COMT,Cytosol
COMTD1,Mitochondria
COPA,Cytosol
COPB1,Cytosol
COPB2,Cytosol
COPE,Cytosol
COPG2,Cytosol
COPS2,Cytosol
COPS3,Cytosol
COPS4,Cytosol
COPS5,Cytosol
COPS6,Cytosol
COPS7A,Cytosol
COPS7B,Cytosol
COPS8,Cytosol
COPZ1,Cytosol
COQ3,Secretory
COQ5,Secretory
COQ7,Secretory
CORO1A,Cytosol
CORO1B,Cytosol
CORO1C,Nuclear
CORO2A,Secretory
CORO7,Cytosol
COTL1,Cytosol
COX17,Nuclear
COX19,Nuclear
COX4I1,Mitochondria
COX5A,Mitochondria
COX5B,Mitochondria
COX6B1,Mitochondria
COX6C,Mitochondria
COX7A2,Mitochondria
COX7A2L,Mitochondria
COX7C,Mitochondria
CPD,Secretory
CPEB2,Cytosol
CPEB3,Cytosol
CPNE1,Cytosol
CPNE2,Cytosol
CPNE3,Cytosol
CPNE7,Cytosol
CPOX,Nuclear
CPPED1,Cytosol
CPS1,Mitochondria
CPSF1,Nuclear
CPSF4,Nuclear
CPSF6,Nuclear
CPSF7,Nuclear
CPT2,Mitochondria
CRABP2,Cytosol
CRADD,Cytosol
CRBN,Cytosol
CREB1,Nuclear
CREBBP,Nuclear
CREG1,Secretory
CRELD1,Secretory
CRELD2,Nuclear
CRIP2,Cytosol
CRIPT,Nuclear
CRISPLD2,Secretory
CRK,Cytosol
CRKL,Cytosol
CRLF3,Cytosol
CRNKL1,Nuclear
CROCC,Cytosol
CROT,Secretory
CRTAP,Secretory
CRTC1,Cytosol
CRTC2,Cytosol
CRTC3,Cytosol
CRYBG3,Cytosol
CRYL1,Cytosol
CRYZ,Cytosol
CRYZL1,Cytosol
CS,Mitochondria
CSAD,Cytosol
CSDE1,Cytosol
CSE1L,Cytosol
CSGALNACT1,Secretory
CSK,Cytosol
CSNK1A1,Secretory
CSNK1D,Nuclear
CSNK1E,Secretory
CSNK2A1,Cytosol
CSNK2A2,Cytosol
CSNK2B,Nuclear
CSRP1,Cytosol
CSRP2,Cytosol
CST3,Secretory
CSTA,Cytosol
CSTB,Cytosol
CSTF1,Nuclear
CSTF2,Nuclear
CSTF2T,Cytosol
CSTF3,Nuclear
CTBP1,Nuclear
CTBP2,Nuclear
CTBS,Nuclear
CTCF,Nuclear
CTDP1,Nuclear
CTDSPL2,Nuclear
CTH,Cytosol
CTNNA1,Secretory
CTNNB1,Secretory
CTNNBIP1,Cytosol
CTNNBL1,Nuclear
CTPS2,Cytosol
CTR9,Nuclear
CTSA,Secretory
CTSB,Nuclear
CTSD,Nuclear
CTSF,Secretory
CTTN,Cytosol
CTTNBP2NL,Cytosol
CTU2,Cytosol
CUEDC1,Cytosol
CUL1,Cytosol
CUL2,Cytosol
CUL3,Cytosol
CUL4A,Cytosol
CUL5,Cytosol
CUL7,Cytosol
CUL9,Cytosol
CUTA,Cytosol
CUTC,Nuclear
CUX1,Secretory
CWC15,Nuclear
CWC22,Nuclear
CWC27,Nuclear
CWF19L1,Nuclear
CWF19L2,Nuclear
CXorf38,Cytosol
CXXC1,Nuclear
CYB5A,Secretory
CYB5B,Secretory
CYB5R1,Mitochondria
CYB5R3,Secretory
CYC1,Mitochondria
CYCS,Nuclear
CYFIP1,Cytosol
CYFIP2,Cytosol
CYHR1,Nuclear
CYLD,Cytosol
CYP20A1,Secretory
CYTH1,Cytosol
CYTH2,Cytosol
CYTH3,Cytosol
D2HGDH,Mitochondria
DAB2IP,Cytosol
DAG1,Secretory
DAP,Cytosol
DAP3,Secretory
DAPK1,Nuclear
DAPK3,Cytosol
DARS2,Mitochondria
DAXX,Nuclear
DAZAP1,Nuclear
DBI,Cytosol
DBN1,Secretory
DBNL,Cytosol
DBR1,Nuclear
DBT,Mitochondria
DCAF10,Cytosol
DCAF11,Cytosol
DCAF13,Nuclear
DCAF5,Nuclear
DCAF6,Cytosol
DCAF7,Cytosol
